index|gain|cover
lugar_zona_Urbana|131.2653624885|135.36681939269232
tipo_amenaza_Individual|110.93362484347824|134.19441186391313
tipo_amenaza_Sin Especificar|94.23141486688236|105.62517697137253
lugar_zona_Rural|90.69679339218186|103.98479875249996
tipo_amenaza_Colectivo|31.320823947|218.88070710999995
v_amenaza|8.167153651105265|161.58770734
departamento_hecho_Amazonas|2.4455464693333333|395.7157796666667
departamento_hecho_BogotÃ¡|2.42376709|348.371613
departamento_hecho_Arauca|1.7612915|471.224548
departamento_hecho_Antioquia|1.0765772586|194.699424738
departamento_hecho_AtlÃ¡ntico|0.967376709|394.309875
departamento_hecho_Sucre|0.888420105|406.244049
anio_fin|0.64345010775|108.08980722874999
departamento_hecho_Huila|0.495134354|229.184509
departamento_hecho_GuainÃ­a|0.470805645|262.36058049999997
departamento_hecho_NariÃ±o|0.439674377|236.021301
departamento_hecho_CaquetÃ¡|0.425415039|371.533844
departamento_hecho_Guaviare|0.421539307|207.184845
