index|gain|cover
lugar_zona_Rural|86.8338786710857|47.379306489428586
lugar_zona_Urbana|57.13701731172416|41.66076510068964
departamento_hecho_Bogotá, D.c.|7.272524915666665|90.72522645555556
ciudad_hecho_Medellín|6.567275217625|111.36956703749999
ciudad_hecho_Cali|6.401078661666667|102.45160779999999
anio_inicio|6.03545059525|85.42287312187501
ciudad_hecho_Quito|4.58531189|185.760544
ciudad_hecho_Bogotá, D.c.|3.941457635888889|83.20841823333333
ciudad_hecho_Santander De Quilichao|2.97516966|96.9396819
departamento_hecho_Valle Del Cauca|2.7798371475000003|98.0141239
v_a_m_panfleto|2.6860704433333336|106.38374449999999
departamento_hecho_Cauca|1.8317518255|73.9296131
v_a_m_hostigamiento|1.75857162|128.993973
v_a_m_familiar|1.73280334|49.2094727
ciudad_hecho_Popayán|1.60099316|75.6597824
ciudad_hecho_Cumbitara|1.31552839|109.137001
ciudad_hecho_Chigorodó|1.1696949|56.0417786
responsables_identificados|1.1571495178|44.146573624
pais_hecho_Colombia|1.094720303|51.6341782
departamento_hecho_Magdalena|1.0896079156666667|35.38959246666667
departamento_hecho_Santander|0.836385904|68.85206295
departamento_hecho_Huila|0.70352459|57.269516
victimas_identificadas|0.623023808|40.3284721
ciudad_hecho_La Montañita|0.526910841|60.2653427
