cluster|antecedents_description|consequents_description|support|confidence
1|Cuando el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual multiple responsable' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual multiple responsable' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual embarazo nacimiento' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual embarazo nacimiento' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual embarazo nacimiento' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual multiple responsable' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual multiple responsable' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual embarazo nacimiento' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual multiple responsable' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual embarazo nacimiento' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual embarazo nacimiento' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual embarazo nacimiento' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual embarazo nacimiento' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual multiple responsable' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual embarazo' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual embarazo nacimiento' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual embarazo nacimiento' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual embarazo' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual embarazo' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual embarazo' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual embarazo' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual multiple responsable' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual multiple responsable' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual embarazo' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual embarazo' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual embarazo' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual embarazo nacimiento' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual embarazo' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual embarazo' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual embarazo nacimiento' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual embarazo' posee el valor de  Sin Especificar|1.0|1.0
1|Cuando el atributo 'v vs violacion sexual ind col' posee el valor de  Sin Especificar|Entonces el atributo 'v vs violacion sexual embarazo' posee el valor de  Sin Especificar|1.0|1.0
