index|gain|cover
v_vs_violacion_sexual_multiple_responsable_Sin Especificar|162.3025455375|199.60850447500002
v_vs_violacion_sexual_embarazo_Sin Especificar|103.38203914407404|133.80065748259258
v_vs_violacion_sexual_embarazo_nacimiento_No|93.9902354945|148.0718763105
v_vs_violacion_sexual_ind_col_Individual|56.733675623749996|110.96725373374998
v_vs_violacion_sexual_ind_col_Sin Especificar|35.888654689999996|74.40803532666668
v_vs_violacion_sexual_embarazo_nacimiento_Sin Especificar|23.27240536714286|52.32799770285715
v_vs_violacion_sexual_multiple_responsable_SÃÂ­|2.06571698|4.09010172
