index|gain|cover
lugar_zona_Urbana|192.85034117307686|130.03151567076924
lugar_zona_Rural|132.86768222534883|95.09752757232557
tipo_amenaza_Colectivo|45.32922774472727|189.4265855090909
tipo_amenaza_Sin Especificar|22.489855218714286|284.96369171428574
tipo_amenaza_Individual|14.53283805775|176.01110141249998
departamento_hecho_Antioquia|4.634808006199999|34.26286544
v_amenaza|2.929473444407407|83.83576592814813
responsables_identificados|1.69411922|6.14796925
departamento_hecho_BogotÃ¡|1.279426576|383.651947
anio_fin|1.073589086125|145.119411675
departamento_hecho_Amazonas|0.91872406|342.656769
departamento_hecho_Vichada|0.722984314|267.356934
departamento_hecho_Putumayo|0.709686279|86.3699341
departamento_hecho_CÃ³rdoba|0.348911762|107.489395
