index|gain|cover
lugar_zona_Rural|84.21297447042426|45.56964252878789
lugar_zona_Urbana|59.22637440718751|43.16617730968749
ciudad_hecho_Medellín|8.372318505|131.7639602875
departamento_hecho_Bogotá, D.c.|7.553769120714286|107.63444452857144
ciudad_hecho_Cali|7.438773388333335|138.8570713833333
departamento_hecho_Valle Del Cauca|4.780533055333334|128.71579756666668
ciudad_hecho_Dagua|4.60720539|14.7622061
v_a_m_panfleto|4.404772596666667|124.86226900000001
ciudad_hecho_Bogotá, D.c.|4.371479087222222|118.01484865555553
v_a_m_carta|3.43490601|105.818527
anio_inicio|2.8047770885|60.629405369375
departamento_hecho_Nariño|2.31392479|22.5668335
departamento_hecho_Vaupés|2.27467728|66.0822525
responsables_identificados|2.133167167|59.62981555166666
ciudad_hecho_El Carmen De Bolívar|2.04406357|102.266075
ciudad_hecho_Plato|2.0085125|97.533989
departamento_hecho_Antioquia|1.9707602245|17.18258715
pais_hecho_Colombia|1.441207405|102.47950750000001
departamento_hecho_Santander|1.23508453|83.4651184
ciudad_hecho_Cumbitara|1.08655262|107.299637
departamento_hecho_Magdalena|1.05707097|40.7330437
anio_fin|0.7810527085000001|28.83997347
departamento_hecho_Casanare|0.588122368|23.3387146
victimas_identificadas|0.570187092|5.81762695
victimas_total|0.383769691|19.4351082
ciudad_hecho_Apartadó|0.382006168|52.8690681
