Tipo|columna|variable|C_0|C_1|C_2|C_3|C_4|C_5|C_6
139|pais_hecho|Colombia|1734|1048|580|519|309|25|20
139|anio_fin|2018|131|0|42|0|0|1|0
139|anio_fin|2015|98|0|30|0|0|0|0
139|anio_fin|2008|97|0|26|0|0|1|2
139|anio_fin|2004|61|0|19|0|0|0|0
139|anio_fin|2011|91|0|25|0|0|1|0
139|anio_fin|2016|113|0|27|0|0|0|2
139|anio_fin|1957|0|0|0|17|3|0|0
139|anio_fin|1985|0|42|0|0|7|0|1
139|anio_fin|1994|0|44|0|0|11|0|0
139|anio_fin|1965|0|0|0|17|2|0|0
139|anio_fin|1950|0|0|0|11|1|0|0
139|anio_fin|2020|213|0|49|0|0|3|2
139|anio_fin|1995|0|45|0|0|21|0|1
139|anio_fin|1993|0|51|0|0|10|1|0
139|anio_fin|2017|124|0|36|0|0|0|1
139|anio_fin|2009|67|0|23|0|0|1|0
139|anio_fin|1991|0|42|0|0|8|2|0
139|anio_fin|1998|0|65|15|0|0|0|1
139|anio_fin|1977|0|0|0|34|5|0|1
139|anio_fin|1996|0|40|10|0|0|0|0
139|anio_fin|2000|0|57|17|0|0|0|2
139|anio_fin|1992|0|29|0|0|16|0|2
139|anio_fin|2006|64|0|20|0|0|1|1
139|anio_fin|2013|119|0|25|0|0|1|1
139|anio_fin|1980|0|35|0|0|4|0|0
139|anio_fin|1972|0|0|0|16|8|0|0
139|anio_fin|2003|0|62|20|0|0|2|0
139|anio_fin|2019|151|0|45|0|0|2|0
139|anio_fin|1955|0|0|0|10|1|0|0
139|anio_fin|1982|0|37|0|0|7|0|0
139|anio_fin|1989|0|35|0|0|9|1|0
139|anio_fin|1942|0|0|0|1|0|0|0
139|anio_fin|2002|0|60|13|0|0|0|0
139|anio_fin|1971|0|0|0|26|10|0|0
139|anio_fin|1963|0|0|0|17|3|0|0
139|anio_fin|1987|0|32|0|0|10|0|0
139|anio_fin|1959|0|0|0|11|4|0|1
139|anio_fin|2010|86|0|16|0|0|2|1
139|anio_fin|2012|88|0|15|0|0|0|0
139|anio_fin|1997|0|58|8|0|0|0|0
139|anio_fin|2007|68|0|25|0|0|0|0
139|anio_fin|2001|0|67|10|0|0|1|0
139|anio_fin|2014|97|0|27|0|0|0|1
139|anio_fin|2005|66|0|23|0|0|2|0
139|anio_fin|1952|0|0|0|6|0|0|0
139|anio_fin|1984|0|36|0|0|12|0|0
139|anio_fin|1986|0|27|0|0|10|0|0
139|anio_fin|1946|0|0|0|5|0|0|0
139|anio_fin|1968|0|0|0|21|2|0|0
139|anio_fin|1983|0|30|0|0|12|0|0
139|anio_fin|1999|0|66|14|0|0|0|0
139|anio_fin|1973|0|0|0|16|13|0|0
139|anio_fin|1981|0|18|0|0|8|0|0
139|anio_fin|1951|0|0|0|6|2|0|0
139|anio_fin|1970|0|0|0|17|6|0|0
139|anio_fin|1967|0|0|0|18|7|0|0
139|anio_fin|1961|0|0|0|11|3|0|0
139|anio_fin|1962|0|0|0|21|4|0|0
139|anio_fin|1944|0|0|0|5|0|0|0
139|anio_fin|1975|0|0|0|21|7|1|0
139|anio_fin|1988|0|30|0|0|16|1|0
139|anio_fin|1990|0|40|0|0|11|1|0
139|anio_fin|1943|0|0|0|4|0|0|0
139|anio_fin|1958|0|0|0|9|4|0|0
139|anio_fin|1979|0|0|0|27|5|0|0
139|anio_fin|1969|0|0|0|13|4|0|0
139|anio_fin|1974|0|0|0|24|11|0|0
139|anio_fin|1978|0|0|0|25|7|0|0
139|anio_fin|1966|0|0|0|16|3|0|0
139|anio_fin|1960|0|0|0|14|4|0|0
139|anio_fin|1976|0|0|0|17|6|0|0
139|anio_fin|1948|0|0|0|9|0|0|0
139|anio_fin|1964|0|0|0|15|3|0|0
139|anio_fin|1953|0|0|0|5|4|0|0
139|anio_fin|1956|0|0|0|14|2|0|0
139|anio_fin|1945|0|0|0|5|0|0|0
139|anio_fin|1947|0|0|0|3|0|0|0
139|anio_fin|1954|0|0|0|10|1|0|0
139|anio_fin|1949|0|0|0|0|2|0|0
139|anio_fin|1941|0|0|0|1|0|0|0
139|anio_fin|1940|0|0|0|1|0|0|0
139|victimas_identificadas|0_a_1|1704|1031|0|505|0|20|15
139|victimas_identificadas|1_a_2|27|15|10|9|4|0|0
139|victimas_identificadas|5_a_6|0|0|0|0|0|5|0
139|victimas_identificadas|3_a_4|0|0|16|0|9|0|5
139|victimas_identificadas|2_a_3|0|0|550|5|295|0|0
139|victimas_identificadas|4_a_5|0|0|4|0|1|0|0
139|victimas_identificadas|-9999_a_0|3|2|0|0|0|0|0
139|amenaza_familiar|0|1734|1048|580|519|309|25|0
139|amenaza_familiar|1|0|0|0|0|0|0|20
139|amenaza_hostigamiento|0|1734|1048|580|519|309|0|10
139|amenaza_hostigamiento|1|0|0|0|0|0|25|10
139|v_vs_cambios_forzados_ind_col|Sin Especificar|1734|1048|580|519|309|25|20
139|cluster|-9999_a_0|1734|0|0|0|0|0|0
139|cluster|2_a_3|0|0|0|519|0|0|0
139|cluster|0_a_1|0|1048|0|0|0|0|0
139|cluster|4_a_5|0|0|0|0|0|25|0
139|cluster|5_a_6|0|0|0|0|0|0|20
139|cluster|1_a_2|0|0|580|0|0|0|0
139|cluster|3_a_4|0|0|0|0|309|0|0
