index|gain|cover
lugar_zona_Rural|83.3260269524|52.03668868485714
lugar_zona_Urbana|61.571207372413795|39.998841205172404
ciudad_hecho_Cumbitara|5.886360164999999|129.9269085
ciudad_hecho_Barrancabermeja|5.42367554|203.0
anio_inicio|5.355251232777777|81.63731516666667
ciudad_hecho_Medellín|5.131569683714285|93.27558137142857
ciudad_hecho_Bogotá, D.c.|4.088146127333334|73.27195039999998
ciudad_hecho_San Andrés De Tumaco|3.73289299|33.9093704
victimas_total|3.03088427|31.4160938
anio_fin|1.7702027946666667|70.51171253333332
ciudad_hecho_Popayán|1.67506027|119.744606
departamento_hecho_Valle Del Cauca|1.3971928953333335|60.531749
departamento_hecho_Nariño|1.38213587|18.2102203
departamento_hecho_Casanare|1.295589447|67.55797390000001
ciudad_hecho_Cali|1.2238975652000001|52.52271958
departamento_hecho_Bogotá, D.c.|1.2238305882222225|59.30739756666666
departamento_hecho_Antioquia|1.17793179|41.2205238
responsables_identificados|0.9923879805|54.889762925
pais_hecho_Colombia|0.737402439|60.4891701
departamento_hecho_Putumayo|0.6768140795|100.553295
departamento_hecho_Cauca|0.625002384|39.5480957
departamento_hecho_Magdalena|0.615212262|25.4042912
victimas_identificadas|0.599206448|4.25
departamento_hecho_Cesar|0.468855739|46.4160404
departamento_hecho_Norte De Santander|0.442516327|51.4859772
